co_municipio,co_ibge,no_municipio,uf,ano,rede,saeb_matematica,saeb_lingua_portuguesa,saeb_padronizado,ideb,posição estado,ideb_meta,etapa
3532843,353284,Nova Canaã Paulista,SP,2023,Municipal,283.08,249.89,7.909797,7.9,7,,Anos Iniciais
3552601,355260,Tabapuã,SP,2023,Municipal,281.47,252.65,7.929254,7.9,8,,Anos Iniciais
2307908,230790,Martinópole,CE,2023,Municipal,282.35,252.13,7.936593,7.9,,,Anos Iniciais
2512507,251250,Queimadas,PB,2023,Municipal,284.0,249.35,7.917536,7.9,,,Anos Iniciais
2601805,260180,Betânia,PE,2023,Municipal,276.18,255.81,7.885754,7.9,,,Anos Iniciais
4107801,410780,Floraí,PR,2023,Municipal,292.8,262.37,8.322203,7.9,,,Anos Iniciais
4207650,420765,Iporã do Oeste,SC,2023,Municipal,284.67,260.8,8.138505,7.9,,,Anos Iniciais
5212055,521205,Jesúpolis,GO,2023,Municipal,278.97,253.67,7.90009,7.9,,,Anos Iniciais
5215207,521520,Novo Brasil,GO,2023,Municipal,270.01,260.75,7.857824,7.9,,,Anos Iniciais
3501103,350110,Alto Alegre,SP,2023,Municipal,278.2,251.0,7.836849,7.8,9,,Anos Iniciais
3502408,350240,Anhumas,SP,2023,Municipal,278.13,247.71,7.775695,7.8,10,,Anos Iniciais
3536257,353625,Parisi,SP,2023,Municipal,282.65,242.75,7.771773,7.8,11,,Anos Iniciais
3555109,355510,Tupi Paulista,SP,2023,Municipal,275.99,253.54,7.840856,7.8,12,,Anos Iniciais
2202729,220272,Cocal dos Alves,PI,2023,Municipal,274.31,253.89,7.815158,7.8,,,Anos Iniciais
2300507,230050,Alcântaras,CE,2023,Municipal,271.64,257.88,7.836749,7.8,,,Anos Iniciais
2304905,230490,Groaíras,CE,2023,Municipal,272.55,256.17,7.823025,7.8,,,Anos Iniciais
2610202,261020,Panelas,PE,2023,Municipal,280.0,252.91,7.905928,7.8,,,Anos Iniciais
2919405,291940,Licínio de Almeida,BA,2023,Municipal,272.84,252.82,7.76765,7.8,,,Anos Iniciais
3122702,312270,Dom Silvério,MG,2023,Municipal,278.64,247.09,7.774155,7.8,,,Anos Iniciais
4103222,410322,Bom Sucesso do Sul,PR,2023,Municipal,274.06,254.67,7.824569,7.8,,,Anos Iniciais
4108650,410865,Goioxim,PR,2023,Municipal,289.53,241.43,7.879071,7.8,,,Anos Iniciais
4110409,411040,Indianópolis,PR,2023,Municipal,276.2,250.74,7.793954,7.8,,,Anos Iniciais
4111100,411110,Itambé,PR,2023,Municipal,272.38,260.02,7.889781,7.8,,,Anos Iniciais
4114203,411420,Mandaguari,PR,2023,Municipal,278.89,251.19,7.853472,7.8,,,Anos Iniciais
4117107,411710,Nova Londrina,PR,2023,Municipal,273.55,253.43,7.792291,7.8,,,Anos Iniciais
4124053,412405,Santa Terezinha de Itaipu,PR,2023,Municipal,280.39,249.04,7.843007,7.8,,,Anos Iniciais
4126405,412640,Sertaneja,PR,2023,Municipal,287.14,258.18,8.138006,7.8,,,Anos Iniciais
